Developer,State,Parking Lot,Ad List,Bus Stop,Firm Number,Park,Property Size,Nearby Mall,Tenure Type,Bedroom,REN Number,Facilities,Completion Year,price,Nearby School,Property Type
Sentul Perdana Sdn. Bhd,Johor,2,103537807,Terminal Sentral Kuantan Bus terminal,31462,Penang National Park,850,The Exchange TRX,Freehold,3,REN 22075,"Parking, Squash Court, Sauna, Jogging Track, Barbeque area, Multipurpose hall, Gymnasium, Minimart, Club house, Lift, Tennis Court",1995,300000,MRSM Tun Ghafar Baba,Apartment
R&F Development Sdn Bhd,Johor,2,101480721,KL Central,31462,Taman Negara,1180,One Utama,Freehold,4,REN 22075,"Lift, Security, Multipurpose hall, Barbeque area, Sauna, Swimming Pool, Playground, Gymnasium, Minimart, Jogging Track, Club house, Squash Court, Tennis Court, Parking",2012,298000,SM Sains T. Munawir,Apartment
UEM Sunrise Berhad,Johor,2,103530633,KL Central,31462,Taman Negara,1385,Sunway Pyramid,Freehold,4,REN 22075,"Gymnasium, Minimart, Club house, Parking, Squash Court, Playground, Barbeque area, Multipurpose hall, Lift, Tennis Court, Jogging Track",2006,469000,MRSM Tun Ghafar Baba,Apartment
Scientex Berhad,Selangor,2,103805563,Seremban Bus terminal,77778,Penang National Park,800,The Exchange TRX,Freehold,3,REN 66961,"Jogging Track, Tennis Court, Lift, Parking, Security, Playground, Club house",2001,270000,SMK Bukit Jambul,Apartment
Techware Enterprise Sdn Bhd,Selangor,1,103805555,KL Central,11584,Selangor State Park,983,Berjaya Times Square,Freehold,3,REN 30894,"Sauna, Playground, Minimart, Squash Court, Barbeque area",2000,320000,SM Sains T. Munawir,Condominium
IOI Properties Group,Putrajaya,1,102631653,Pudu Sentral,10121,Gunung Ledang National Park,1515,Sunway Pyramid,Freehold,3,REN 05189,Security,2003,550000,SMK Bukit Jambul,Condominium
Mahabuilders Berhad,Sarawak,1,102006980,KL Central,30460,Penang National Park,1711,The Exchange TRX,Leasehold,3,REN 01374,"Jogging Track, Tennis Court, Parking, Security, Squash Court, Playground, Gymnasium, Minimart, Multipurpose hall, Lift, Club house, Sauna, Swimming Pool",1992,470000,SMK Bukit Jambul,Condominium
MK Land Holdings,Selangor,1,103805644,Seremban Bus terminal,10143,Penang National Park,850,Sunway Pyramid,Leasehold,3,REN 40863,"Squash Court, Sauna, Playground, Gymnasium, Barbeque area, Club house, Tennis Court, Jogging Track, Lift, Minimart, Parking, Security, Swimming Pool",1997,245000,SM imtiaz Kemaman,Condominium
BSG Property,Sarawak,2,103073792,Terminal Sentral Kuantan Bus terminal,30460,Penang National Park,1667,One Utama,Leasehold,3,REN 01374,"Tennis Court, Security, Playground, Multipurpose hall, Parking, Barbeque area, Lift, Club house, Gymnasium, Swimming Pool, Jogging Track, Squash Court",2011,580000,MRSM Tun Ghafar Baba,Condominium
Mi Nest Development Sdn Bhd,Sarawak,2,102725022,Seremban Bus terminal,30460,Gunung Ledang National Park,2020,The Exchange TRX,Leasehold,5,REN 01374,"Multipurpose hall, Gymnasium, Sauna, Club house, Tennis Court, Playground, Lift, Barbeque area",2017,650000,Sekolah Seni Malaysia,Condominium
Jaya Megah Development Sdn Bhd,Selangor,1,102850930,Pudu Sentral,11584,Gunung Ledang National Park,1012,One Utama,Freehold,3,REN 36845,"Multipurpose hall, Minimart, Club house",1992,369900,Sekolah Seni Malaysia,Service Residence
Syarikat Perumahan Negara Berhad,Penang,1,103149030,KL Central,56472,Gunung Ledang National Park,650,One Utama,Freehold,3,REN 66472,"Security, Squash Court, Parking",2005,320000,SM imtiaz Kemaman,Apartment
S P Setia Bhd,Selangor,1,103805620,Seremban Bus terminal,10143,"Park at Impian 6, Section U13 (Setia Alam)
Park at Impian 7 Playground, Impian 7
Park at Impian 7, Section U13 (Setia Alam)
Park at Setia Alam Western Park, Section U13 (Setia Alam)
Park at Impian 8, Section U13 (Setia Alam)",650,Berjaya Times Square,Freehold,3,REN 40863,"Squash Court, Playground, Parking, Barbeque area, Lift, Minimart, Tennis Court, Sauna, Gymnasium, Security, Jogging Track, Multipurpose hall, Swimming Pool",2006,220000,Sekolah Jenis Kebangsaan(C) Pin Hwa (1),Apartment
SYF Development,Selangor,2,103805611,Terminal Sentral Kuantan Bus terminal,11307,Gunung Ledang National Park,477,Sunway Pyramid,Freehold,1,REN 06753,"Jogging Track, Sauna, Tennis Court, Multipurpose hall, Playground, Lift, Gymnasium, Club house, Parking, Squash Court",2018,220000,SM imtiaz Kemaman,Service Residence
Perbadanan Kemajuan Negeri Perak (PKNP),Perak,2,103805539,KL Central,31392,Penang National Park,1117,Sunway Pyramid,Freehold,3,REN 00567,"Tennis Court, Gymnasium, Multipurpose hall",1992,320000,SMK Bukit Jambul,Apartment
Hua Yang Berhad,Johor,2,103581872,KL Central,11307,Penang National Park,516,The Exchange TRX,Freehold,2,REN 12592,"Club house, Parking, Barbeque area, Gymnasium, Minimart",1990,118000,Sekolah Seni Malaysia,Flat
Tasek Maju Realty Sdn Bhd,Johor,1,103563958,Pudu Sentral,11307,Taman Negara,494,Berjaya Times Square,Freehold,2,REN 12592,"Swimming Pool, Sauna, Barbeque area, Gymnasium, Playground, Minimart, Squash Court, Parking",2016,125000,SMK Bukit Jambul,Flat
TLS Group,Kuala Lumpur,1,103443920,Terminal Sentral Kuantan Bus terminal,77778,Penang National Park,1200,Sunway Pyramid,Freehold,3,REN 66961,Swimming Pool,2005,530000,SM Sains T. Munawir,Condominium
Mi Nest Development Sdn Bhd,Kuala Lumpur,2,103383454,Pudu Sentral,11565,Penang National Park,1300,Sunway Pyramid,Freehold,4,PEA 2956,"Minimart, Barbeque area, Parking, Playground, Tennis Court, Squash Court, Multipurpose hall, Jogging Track, Swimming Pool",2020,518000,Sekolah Seni Malaysia,Service Residence
X-Scan Penang Sdn Bhd,Johor,1,103351715,Pudu Sentral,11307,Selangor State Park,526,The Exchange TRX,Freehold,2,REN 12592,"Lift, Sauna, Parking, Tennis Court, Minimart",1993,110000,Sekolah Seni Malaysia,Flat
Trinity Group,Kuala Lumpur,1,103323847,"Bus Stop Desa Petaling (Selatan)
Bus Stop Winner Heights
Bus Stop S*PARK Shopping Complex
Bus Stop SK Desa Petaling
Bus Stop To Lobby Utama
Bus Stop Pangsaria",11584,Selangor State Park,1261,Sunway Pyramid,Freehold,3,REN 36845,"Sauna, Swimming Pool",2014,659900,SMK Bukit Jambul,Condominium
Petaling Garden Sdn Bhd (I & P Group),Kuala Lumpur,2,103293875,Pudu Sentral,11584,Gunung Ledang National Park,1690,Sunway Pyramid,Freehold,3,REN 36845,"Lift, Sauna, Minimart, Multipurpose hall, Playground, Swimming Pool, Club house, Tennis Court, Squash Court, Jogging Track, Security, Barbeque area, Gymnasium, Parking",1993,738000,SM Sains T. Munawir,Condominium
Mi Nest Development Sdn Bhd,Kuala Lumpur,1,103199527,Terminal Sentral Kuantan Bus terminal,30338,Selangor State Park,1300,Sunway Pyramid,Freehold,4,REN 66961,"Minimart, Parking, Gymnasium, Security, Sauna, Squash Court, Playground",2022,545000,SM imtiaz Kemaman,Service Residence
Palm Grove Homes / Kenmeiwood Construction & Engineering Works,Kuala Lumpur,2,102738500,Seremban Bus terminal,11492,Selangor State Park,675,Sunway Pyramid,Leasehold,3,REN 46544,"Tennis Court, Minimart, Jogging Track, Playground, Swimming Pool, Parking, Barbeque area, Club house, Gymnasium",2017,97999,SMK Bukit Jambul,Apartment
Elite Forward Sdn Bhd (L&G / Mayland),Johor,1,102492658,KL Central,11307,Selangor State Park,610,The Exchange TRX,Leasehold,3,REN 12592,"Club house, Minimart, Playground",2010,128000,MRSM Tun Ghafar Baba,Flat
Akisama Group of companies,Johor,2,102343002,Pudu Sentral,11307,Selangor State Park,850,Berjaya Times Square,Freehold,3,REN 12592,"Security, Squash Court, Tennis Court",2020,230000,SM imtiaz Kemaman,Apartment
Lim Seong Hai Holdings Sdn Bhd,Kuala Lumpur,2,102223783,"Bus Stop Duta–Ulu Klang Expressway
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop Kg Chubadak Hulu
Bus Stop SMK Batu Muda
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop SMK Batu Muda (Opp)
Bus Stop Kg Chubadak
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop 1 Kg Chubadak Hulu (Utara)
Bus Stop 2 Kg Chubadak Hulu (Utara)",30338,"Park 2 at Kuala Lumpur, Malaysia
Park at Taman Kosmo Jaya, Kampung Chubadak Hulu, Kuala Lumpur, 51000, Malaysia",1000,One Utama,Leasehold,3,REN 00011,"Security, Club house, Sauna, Squash Court, Multipurpose hall, Parking, Minimart, Tennis Court, Barbeque area, Jogging Track, Gymnasium, Swimming Pool",2002,450000,SM imtiaz Kemaman,Apartment
Lim Seong Hai Holdings Sdn Bhd,Kuala Lumpur,1,102211027,"Bus Stop Duta–Ulu Klang Expressway
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop Kg Chubadak Hulu
Bus Stop SMK Batu Muda
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop SMK Batu Muda (Opp)
Bus Stop Kg Chubadak
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop 1 Kg Chubadak Hulu (Utara)
Bus Stop 2 Kg Chubadak Hulu (Utara)",30338,"Park 2 at Kuala Lumpur, Malaysia
Park at Taman Kosmo Jaya, Kampung Chubadak Hulu, Kuala Lumpur, 51000, Malaysia",1000,Sunway Pyramid,Leasehold,3,REN 00011,"Squash Court, Playground, Sauna, Swimming Pool, Multipurpose hall, Tennis Court, Jogging Track, Gymnasium",1990,445000,SMK Bukit Jambul,Apartment
Malaysia Land Properties Sdn. Bhd.,Johor,1,100883751,Seremban Bus terminal,11307,Gunung Ledang National Park,434,Berjaya Times Square,Freehold,1,REN 12592,"Gymnasium, Minimart, Security",2014,205000,SM imtiaz Kemaman,Service Residence
Trinity Group,Johor,2,99869405,Terminal Sentral Kuantan Bus terminal,11307,Selangor State Park,750,Sunway Pyramid,Freehold,3,REN 12592,"Parking, Playground",1992,135000,Sekolah Seni Malaysia,Flat
Cosmopolitan Homes Sdn Bhd,Johor,2,103098770,Pudu Sentral,16501,Gunung Ledang National Park,525,One Utama,Freehold,2,E 16501,"Playground, Barbeque area, Sauna, Gymnasium, Swimming Pool, Security, Squash Court, Parking, Multipurpose hall, Minimart, Jogging Track",1991,120000,SM Sains T. Munawir,Flat
Tasek Maju Realty Sdn Bhd,Negeri Sembilan,1,103805449,KL Central,11584,Taman Negara,929,Berjaya Times Square,Leasehold,3,REN 25246,"Lift, Playground, Multipurpose hall, Squash Court, Swimming Pool",2024,290000,MRSM Tun Ghafar Baba,Apartment
IOI Properties Group,Putrajaya,2,102631668,Pudu Sentral,10121,Penang National Park,1515,The Exchange TRX,Freehold,3,REN 05189,"Jogging Track, Security, Minimart, Gymnasium, Sauna, Parking, Swimming Pool, Playground, Tennis Court, Club house",2006,550000,SM Sains T. Munawir,Condominium
Parkland Group,Melaka,2,103805522,KL Central,77778,Taman Negara,1350,Sunway Pyramid,Freehold,3,REN 66961,"Gymnasium, Multipurpose hall, Squash Court, Playground, Barbeque area, Minimart, Swimming Pool, Jogging Track, Tennis Court, Lift, Security",2003,548000,SM Sains T. Munawir,Service Residence
Kenwingston Group,Johor,2,103805519,KL Central,11607,Gunung Ledang National Park,1065,The Exchange TRX,Freehold,3,REN 66961,"Security, Swimming Pool, Parking, Jogging Track, Squash Court, Lift, Sauna",2012,350000,MRSM Tun Ghafar Baba,Service Residence
Parkland Group,Johor,2,103805518,Seremban Bus terminal,11694,Gunung Ledang National Park,876,Sunway Pyramid,Leasehold,2,REN 33882,"Jogging Track, Tennis Court, Multipurpose hall, Club house, Minimart, Swimming Pool, Lift, Squash Court, Parking",2013,350000,SM Sains T. Munawir,Condominium
Paramount Property,Selangor,2,103805514,Pudu Sentral,31353,Selangor State Park,1066,Berjaya Times Square,Freehold,3,REN 48484,"Multipurpose hall, Sauna, Club house",2020,560000,Sekolah Kebangsaan Perdana Jaya SS19,Condominium
Palm Grove Homes / Kenmeiwood Construction & Engineering Works,Johor,1,103805511,KL Central,77778,Penang National Park,678,One Utama,Leasehold,1,REN 07308,"Barbeque area, Tennis Court, Gymnasium",2018,245000,SM imtiaz Kemaman,Condominium
Syarikat Perumahan Negara Berhad,Sabah,1,103805510,Terminal Sentral Kuantan Bus terminal,77778,Selangor State Park,850,The Exchange TRX,Leasehold,3,REN 66961,"Security, Swimming Pool, Barbeque area, Minimart, Lift, Jogging Track, Squash Court, Multipurpose hall, Playground, Parking, Tennis Court, Gymnasium",2000,298000,SM imtiaz Kemaman,Apartment
Cosmopolitan Homes Sdn Bhd,Penang,2,103805502,Seremban Bus terminal,11924,Penang National Park,753,One Utama,Freehold,3,REN 52964,"Swimming Pool, Playground, Sauna",2014,650000,Sekolah Seni Malaysia,Service Residence
Cosmopolitan Homes Sdn Bhd,Selangor,2,103805427,Pudu Sentral,77778,Selangor State Park,2896,One Utama,Freehold,6,REN 66961,"Jogging Track, Swimming Pool, Gymnasium, Tennis Court",2022,1095000,SM Sains T. Munawir,Others
Syarikat Perumahan Negara Berhad,Melaka,2,103805422,Terminal Sentral Kuantan Bus terminal,11584,Gunung Ledang National Park,1001,Sunway Pyramid,Freehold,3,REN 38011,"Security, Playground, Squash Court, Multipurpose hall, Barbeque area, Lift, Gymnasium, Swimming Pool, Minimart",2012,200000,SMK Bukit Jambul,Apartment
IOI Properties Group,Putrajaya,1,102631678,Pudu Sentral,10121,Penang National Park,1654,One Utama,Freehold,3,REN 05189,"Barbeque area, Jogging Track, Gymnasium",2012,437400,Sekolah Seni Malaysia,Condominium
Mahumas Sdn Bhd,Kuala Lumpur,2,101602694,Pudu Sentral,10121,Selangor State Park,1668,One Utama,Freehold,3,REN 05189,"Gymnasium, Swimming Pool, Jogging Track, Playground, Security",1992,620000,SM Sains T. Munawir,Condominium
Petaling Garden Sdn Bhd (I & P Group),Johor,2,103734716,Terminal Sentral Kuantan Bus terminal,77778,Selangor State Park,861,Sunway Pyramid,Freehold,3,REN 66961,"Minimart, Parking, Tennis Court, Sauna, Playground, Security, Gymnasium, Swimming Pool, Jogging Track, Lift, Squash Court, Multipurpose hall, Club house",1999,290000,MRSM Tun Ghafar Baba,Apartment
SHL Consolidated Berhad,Selangor,2,102649103,KL Central,77778,Taman Negara,1053,Sunway Pyramid,Freehold,3,REN 62917,"Multipurpose hall, Sauna, Security, Swimming Pool, Parking",2014,225500,MRSM Tun Ghafar Baba,Apartment
Sentul Perdana Sdn. Bhd,Kuala Lumpur,2,102790896,"Bus Stop SPG Dato Senu
Bus Stop 1 Perumahan Sentul Impian
Bus Stop 2 Perumahan Sentul Impian
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop Sentul Al-Hidayah Mosque
Bus Stop SK Sentul 2
Bus Stop Pangsapuri Sentul Utara
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop Rumah Kedai
Bus Stop Dato Senu Commercial
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop Data Senu Field
Bus Stop Sentul Market
Bus Stop Madrasah Raudatul Muttaqin (Opp)
Bus Stop Kg Puah Bahagia
Bus Stop Kg Chubadak Hulu
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop Skymeridien Sentul East
Bus Stop SMK Convent Sentul (Opp)
Bus Stop Kg Chubadak
Bus Stop SMK Convent Sentul",11584,"Park at Taman Kosmo Jaya, Kampung Chubadak Hulu, Kuala Lumpur, 51000, Malaysia
Taman Kaya Community Garden, Kaya Garden, Kuala Lumpur, 51100, Malaysia",1081,One Utama,Freehold,3,REN 36845,"Squash Court, Security",2011,465500,SJK (C) Peng Ming,Condominium
Syarikat Perumahan Negara Berhad,Kuala Lumpur,1,103338849,"Bus Stop Bamboo Garden Jalan Ipoh
Bus Stop Simpang Batu Kantomen / Caltex Jalan Ipoh
Bus Stop Kentonmen MRT Station
Bus Stop 2 Rainbow Garden
Bus Stop 1 Rainbow Garden
Bus Stop 1 SK Kampung Batu Jalan Ipoh
Bus Stop 2 SK Kampung Batu Jalan Ipoh
Bus Stop Kompleks Mutiara
Bus Stop Kok Lian Commercial
Bus Stop Kok Lian Garden / PPR Pekan Batu
Bus Stop Sri Kuching Garden
Bus Stop City Garden Commerical
Bus Stop SJKC Mun Choong",31871,"PTGWPKL Government Reserved Land, Bamboo Garden, Batu, Kuala Lumpur, 51200, Malaysia",900,District K @ KLDC (U/C),Freehold,3,REN 29693,"Sauna, Swimming Pool, Jogging Track, Barbeque area, Gymnasium, Minimart, Security, Playground, Squash Court, Multipurpose hall, Tennis Court, Club house, Lift",1995,250000,SK Kg. Batu,Condominium
Mah Sing Group Berhad,Penang,2,103805308,Terminal Sentral Kuantan Bus terminal,11492,Penang National Park,1100,The Exchange TRX,Freehold,2,REN 66961,Minimart,2020,850000,Sekolah Seni Malaysia,Service Residence
Jaya Megah Development Sdn Bhd,Selangor,1,101224511,Pudu Sentral,11584,Selangor State Park,1011,Sunway Pyramid,Freehold,3,REN 36845,"Sauna, Jogging Track, Playground, Parking, Club house, Multipurpose hall, Lift",2015,300000,Sekolah Jenis Kebangsaan (T) Batu Caves,Service Residence
Mudajaya Group,Selangor,1,103805444,Pudu Sentral,77778,Penang National Park,1190,One Utama,Freehold,3,REN 66961,"Club house, Lift, Gymnasium, Security, Barbeque area, Playground, Sauna, Minimart, Multipurpose hall",2023,488000,SM imtiaz Kemaman,Condominium
IJM LAND BERHAD,Johor,2,103805439,Seremban Bus terminal,77778,Selangor State Park,850,Sunway Pyramid,Leasehold,3,REN 66961,"Tennis Court, Gymnasium, Jogging Track",2004,335000,SMK Bukit Jambul,Service Residence
Golden Armani Sdn Bhd,Selangor,1,103273883,Bus Stop at Persiaran Setia,11688,"Park at USJ 12, UEP Subang Jaya
Park at USJ4 Park, USJ 4",450,The Exchange TRX,Freehold,1,REN 36162,"Sauna, Parking, Barbeque area, Minimart, Gymnasium, Playground, Security, Lift, Multipurpose hall, Club house, Squash Court",2003,368000,Sekolah Kebangsaan USJ 12,Service Residence
Maxim Holdings,Kuala Lumpur,1,103805409,Seremban Bus terminal,11800,Taman Negara,818,One Utama,Leasehold,3,E 51213,"Security, Parking, Gymnasium, Playground, Club house, Swimming Pool, Squash Court, Sauna, Tennis Court, Lift",2022,340000,Sekolah Seni Malaysia,Service Residence
Techware Enterprise Sdn Bhd,Penang,2,103805406,Terminal Sentral Kuantan Bus terminal,11492,Selangor State Park,850,One Utama,Leasehold,3,REN 66961,Minimart,2024,447000,SM imtiaz Kemaman,Condominium
Akisama Group of companies,Kuala Lumpur,1,103805404,"Bus Stop KL 1284 Wisma Buddist
Bus Stop KL 1179 Saville Residence
Bus Stop KL 1180 Wisma Buddist
Bus Stop KL 1283 Batu 3 1/2 Klang Lama
Bus Stop KL 1285 Saville Residence
Bus Stop KL 1181 Batu 3 1/2 KLang Lama
Bus Stop KL 1282 3Rd Mile Square
Bus Stop KL 1281 Taman Shanghai (Utara)
Bus Stop KL 1183 Taman Shanghai (Utara)
Bus Stop KTM Angkasapuri
Bus Stop 1 Flat Sri Labuan
Bus Stop KL 1188 Wisma Tm Taman Desa
Bus Stop Jalan Desa Utama
Bus Stop Jalan 2/112A
Bus Stop KL 1190 Taman Bukit Desa (Selatan)
Bus Stop KL 1280 Taman Shanghai (Selatan)
Bus Stop KL 1187 Papillion Desahill Condominium
Bus Stop Mid Valley Megamall South Court
Bus Stop KL 1184 Taman Shanghai (Selatan)",31615,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",950,Mid Valley Megamall,Freehold,3,REN 54990,"Jogging Track, Gymnasium, Security, Squash Court, Parking, Minimart, Lift, Sauna, Multipurpose hall, Swimming Pool",2013,450000,Vikas International School,Service Residence
Asia Green Group,Selangor,2,103805403,Seremban Bus terminal,11836,Penang National Park,776,The Exchange TRX,Leasehold,3,REN 27163,"Lift, Playground, Multipurpose hall, Barbeque area, Parking, Club house, Jogging Track, Minimart, Swimming Pool",2009,178000,Sekolah Seni Malaysia,Apartment
S P Setia Bhd,Selangor,1,103805401,Seremban Bus terminal,77778,"Park at Impian 6, Section U13 (Setia Alam)
Park at Impian 7 Playground, Impian 7
Park at Impian 7, Section U13 (Setia Alam)
Park at Setia Alam Western Park, Section U13 (Setia Alam)
Park at Impian 8, Section U13 (Setia Alam)",650,The Exchange TRX,Freehold,3,REN 66961,"Sauna, Parking, Playground, Barbeque area, Club house, Squash Court, Swimming Pool, Tennis Court, Jogging Track, Lift, Multipurpose hall",2023,220000,SMK Bukit Jambul,Apartment
MK Land Holdings,Selangor,1,103805398,Terminal Sentral Kuantan Bus terminal,77778,Penang National Park,850,Sunway Pyramid,Leasehold,3,REN 66961,"Club house, Jogging Track, Squash Court, Security, Gymnasium, Playground",2006,245000,SM imtiaz Kemaman,Condominium
UEM Sunrise Berhad,Selangor,2,103805396,KL Central,11989,Gunung Ledang National Park,932,One Utama,Freehold,3,REN 51173,"Parking, Playground, Squash Court, Minimart",2002,300000,Sekolah Seni Malaysia,Condominium
Kenwingston Group,Penang,2,103805390,Terminal Sentral Kuantan Bus terminal,31334,Penang National Park,656,The Exchange TRX,Leasehold,3,REN 45441,"Lift, Minimart, Gymnasium, Jogging Track, Tennis Court, Playground",2021,230000,SM Sains T. Munawir,Apartment
